Major,Degree Type,Early Career Pay,Mid Career Pay
Organizational Psychology,Bachelors,56400,99700
Advertising & Marketing Communications,Bachelors,54900,99200
Entomology,Bachelors,49900,99200
Product Design Engineering,Bachelors,73500,99100
Personal Financial Planning,Bachelors,60400,99000
Biological Sciences,Bachelors,56400,98900
Pre-law,Bachelors,52900,98900
Textile Technology,Bachelors,60400,98800
Strategic Communication,Bachelors,52900,98700
Technology,Bachelors,63200,98700
Environmental Science,Bachelors,55800,98600
International Studies,Bachelors,56200,98500
Cinema Studies,Bachelors,53200,98300
Professional & Technical Writing,Bachelors,54800,98200
Automotive Technology,Bachelors,55400,97800
New Media Design,Bachelors,63100,97700
Theatre & Drama Studies,Bachelors,53100,97700
Information Systems Security,Bachelors,64800,97700
Aviation Maintenance Technology,Bachelors,57300,97500
Organizational Development,Bachelors,60800,97500
Financial Management,Bachelors,62700,97400
International Trade & Business,Bachelors,61500,97400
Textile & Apparel Studies,Bachelors,53300,97400
Toxicology,Bachelors,53900,97400
Construction Engineering Technology,Bachelors,63800,97200
Advertising & Marketing,Bachelors,55200,97100
English Literature,Bachelors,53800,97100
Advertising & Promotion,Bachelors,53400,97000
Agricultural Science,Bachelors,53800,96900
Fashion Design,Bachelors,53900,96900
Hydrology,Bachelors,53400,96900
Technical Management,Bachelors,72300,96800
Electronics & Computer Technology,Bachelors,60500,96600
French Studies,Bachelors,59000,96500
Magazine Journalism,Bachelors,54300,96500
Management,Bachelors,58100,96500
Sociology & Organizational Studies,Bachelors,61400,96500
International Affairs,Bachelors,58300,96300
Business Administration,Bachelors,60200,96300
Finance & Marketing,Bachelors,67800,96200
Land Surveying,Bachelors,58200,96200
Journalism & Mass Communication,Bachelors,52800,96100
Business Management,Bachelors,58700,95900
Speech & Drama,Bachelors,45100,95900
Agribusiness Management,Bachelors,58700,95600
Digital Media,Bachelors,52000,95600
Drama,Bachelors,55600,95500
Linguistics,Bachelors,58600,95500
Architectural Engineering Technology,Bachelors,56800,95400
General Science,Bachelors,56300,95400
Pre-Medicine,Bachelors,57200,95300
Business Administration & Accounting,Bachelors,59500,95200
History & Politics,Bachelors,55300,95200
Nursing Science,Bachelors,75600,95200
Global Business,Bachelors,62000,95100
Integrated Marketing Communications,Bachelors,53500,95100
American History (United States),Bachelors,58900,94900
Architectural Studies,Bachelors,50900,94800
Communication,Bachelors,54800,94800
Personnel Management,Bachelors,57900,94800
General Business,Bachelors,56300,94700
Interior Architecture,Bachelors,53500,94700
Public Affairs,Bachelors,59400,94700
Natural Sciences,Bachelors,49500,94700
Writing,Bachelors,49900,94600
Human Biology,Bachelors,57400,94500
Marketing & Mass Communications,Bachelors,53700,94500
Computer Art,Bachelors,44600,94500
French Language,Bachelors,56100,94100
Journalism,Bachelors,52300,94100
Interpersonal & Organizational Communication,Bachelors,47500,94000
Organizational Communication,Bachelors,52400,94000
Textile Design,Bachelors,56200,94000
Biology & Chemistry,Bachelors,55700,93900
Nursing,Bachelors,73100,93900
Public Relations & Communication,Bachelors,51700,93900
Environmental & Natural Resource Economics,Bachelors,58600,93700
Biology,Bachelors,53500,93600
Environmental Management,Bachelors,57500,93600
General & Strategic Management,Bachelors,56800,93600
Bachelor in Science Nursing,Bachelors,73700,93400
History,Bachelors,54300,93400
Literature,Bachelors,53200,93300
Law,Bachelors,59900,93200
Physiology,Bachelors,55500,93100
Entrepreneurial Studies,Bachelors,54800,93000
Public Relations (PR),Bachelors,51800,93000
Retail Management,Bachelors,60400,93000
Computer Aided Drafting & Design (CADD),Bachelors,56300,92900
Management & Organization,Bachelors,78600,92900
Agriculture,Bachelors,53600,92900
Music Technology,Bachelors,50900,92900
Administration of Justice,Bachelors,51300,92800
Publishing,Bachelors,52000,92800
Urban Studies,Bachelors,57700,92800
Media Studies,Bachelors,57000,92700
Apparel & Textile Manufacture,Bachelors,54200,92600
Philosophy & Religion,Bachelors,51300,92600
Environmental Geography,Bachelors,55900,92500
Communication Studies & Journalism,Bachelors,51200,92300
Interpersonal Communications,Bachelors,50200,92300
Logistics Management,Bachelors,66000,92300
Retail & Consumer Science,Bachelors,58800,92300
Web Design & Development,Bachelors,60100,92300
Accounting & Business,Bachelors,58700,92200
Architectural Technology,Bachelors,55700,92200
Geographic Information Systems (GIS),Bachelors,56100,92200
Environmental Studies,Bachelors,55000,92100
Interactive Media,Bachelors,61300,92100
Retail Merchandising,Bachelors,59000,91900
Diagnostic Medical Sonography,Bachelors,71700,91800
Agricultural Business,Bachelors,61400,91600
Network Administration,Bachelors,54400,91600
Environmental Biology,Bachelors,50500,91300
Dental Hygiene,Bachelors,81200,91300
Journalism & Electronic Media,Bachelors,51400,91200
Web & Digital Media Development,Bachelors,60400,91200
Workforce Education & Development,Bachelors,67100,91200
Diagnostic Medical Ultrasound,Bachelors,73800,91100
Health Policy & Administration,Bachelors,57300,91100
